"","V2021","V2022","V2023","V2024","V2025","V2025A","V2025B","V2026","V2032","V2033CAT","V2034","V2036","V2037","V2038","V2040A","V2041","V2042CAT","V2043","V2045","V2046","V2047","V2049A","V2050","V2074","V2075","V2076","V2078","V2119","V2120","V2121","V2121B","V2122","V2124","V2125","V2126B","V2127B","V2128B","V2129","V2132","V2133","V3012","V3014CAT","V3015","V3018","V3019","V3020","V3023A","V3024","V3032","V3033","V3034","V3035","V3038","V3039","V3040","V3041","V3042","V3043","V3044","V3045","V3046","V3047","V3048","V3049","V3052","V3053","V3054","V3058","V3059","V3061","V3062","V3063","V3064","V3065","V3066","V3067","V3068","V3070","V3071","V3072","V3073","V3074","V3075","V3076","V3077","V3078","V3079","VS0002","VS0005","VS0006","VS0007","VS0010","VS0011","VS0014","VS0015","VS0016","VS0017","VS0019","VS0020","VS0021","VS0022","VS0023","VS0024","VS0025","VS0026","VS0027","VS0028","VS0029","VS0030","VS0031","VS0032","VS0033","VS0034","VS0035","VS0036","VS0037","VS0038","VS0039","VS0040","VS0041","VS0042","VS0043","VS0044","VS0045","VS0046","VS0047","VS0048","VS0049","VS0050","VS0051","VS0052","VS0053","VS0054","VS0055","VS0146","VS0147","VS0148","VS0149","VS0150","VS0151","VS0057","VS0152","VS0153","VS0154","VS0155","VS0058","VS0059","VS0060","VS0061","VS0062","VS0063","VS0064","VS0065","VS0066","VS0067","VS0068","VS0069","VS0070","VS0112","VS0113","VS0114","VS0115","VS0116","VS0117","VS0118","VS0119","VS0120","VS0157","VS0121","VS0122","VS0123","VS0124","VS0125","VS0126","VS0127","VS0128","VS0129","VS0130","VS0131","VS0132","VS0133","VS0134","VS0135","VS0136","VS0137","VS0138","VS0139","VS0140","VS0141","V4526AA_1","V4526H3A_1","V4526H3B_1","V4526H4_1","V4526H5_1","V4526H6_1","V4526H7_1","o_bullied"
"11",1,1,8,1,9,2,2,10,2,4,1,2,2,28,1,2,2,1,1,1,28,1,2,2,9,9,4,2,9,9,2,4,2,1,18,3,1,2,1,4,4,1,5,2,9,7,1,2,1,2,2,999,9,999,2,999,2,999,2,999,2,999,2,99,9,999,2,9,999,0,1,0,0,0,0,0,0,9,9,9,9,99,9,9,0,9,0,0,3,0,0,12,1,2,9,99,2,1,1,9,6,8,2,1,2,1,2,2,2,1,1,2,2,2,1,1,2,1,1,1,2,1,1,1,3,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,9,2,2,9,9,2,99,1,1,1,2,9,9,9,9,9,9,9,"N"
"12",1,1,1,1,9,2,2,98,11,3,5,1,2,28,1,2,3,5,1,2,28,1,2,2,9,9,1,2,2,8,2,14,2,1,13,2,3,3,4,4,10,2,5,1,2,10,1,2,15,99,2,999,9,999,2,999,2,999,2,999,2,999,2,99,9,999,2,9,999,1,0,0,0,0,0,0,0,9,2,2,9,99,9,9,0,9,0,0,1,0,1,18,2,2,9,99,7,1,1,9,7,12,4,1,4,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,2,3,3,3,2,3,3,3,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,9,2,2,9,9,2,99,99,3,3,5,9,9,9,9,9,9,9,"N"
"13",1,1,1,1,9,2,2,13,11,4,3,2,2,41,1,2,4,3,2,2,41,1,2,2,9,9,1,2,2,8,2,28,2,1,13,3,4,2,4,4,4,1,5,2,9,9,1,2,2,1,2,999,9,999,2,999,2,999,2,999,2,999,2,99,9,999,2,9,999,1,0,0,0,0,0,0,0,9,9,9,9,99,9,9,0,9,0,0,1,0,1,15,2,2,9,99,5,1,2,9,7,12,4,2,4,1,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2,3,1,1,2,1,2,3,3,2,2,2,2,4,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,3,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,9,2,2,9,9,2,99,2,3,3,4,9,9,9,9,9,9,9,"N"
"14",1,1,1,1,9,2,2,8,11,4,3,2,2,41,1,2,4,3,2,2,41,1,2,2,9,9,2,2,9,9,2,28,2,1,19,3,1,1,4,4,4,1,5,2,9,10,1,2,2,2,2,999,9,999,2,999,2,999,2,999,2,999,2,99,9,999,2,9,999,1,0,0,0,0,0,0,0,9,1,9,9,27,1,1,0,2,0,0,2,0,1,16,2,2,9,99,7,1,1,9,9,12,2,5,2,1,2,2,1,2,2,2,1,2,1,1,1,2,1,1,2,1,1,2,3,2,2,1,3,2,2,2,1,3,1,1,1,1,1,1,1,99,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,9,2,2,9,9,2,99,1,1,1,3,9,9,9,9,9,9,9,"Y"
"15",1,1,1,1,9,2,2,14,11,4,1,2,2,42,1,2,4,1,2,2,42,1,2,2,9,9,4,2,9,9,2,20,2,1,13,4,4,2,4,4,3,1,5,1,9,11,1,2,5,99,2,999,9,999,2,999,2,999,2,999,2,999,2,99,9,999,2,9,999,0,0,0,1,0,0,0,0,9,2,2,9,99,9,9,0,9,0,0,2,0,1,17,1,2,9,99,6,1,1,9,10,12,4,1,4,3,1,1,2,2,2,2,2,2,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,3,3,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,9,2,2,9,9,2,99,2,1,1,2,9,9,9,9,9,9,9,"N"
"16",1,1,1,5,1,2,2,12,2,4,1,2,2,40,1,2,3,1,1,2,28,1,2,2,9,9,2,2,2,8,2,4,1,1,16,2,1,2,1,4,3,1,5,1,9,8,1,2,4,1,2,999,9,999,2,999,2,999,2,999,2,999,2,99,9,999,2,9,999,1,0,0,0,0,0,0,0,9,9,9,9,99,9,9,0,9,0,0,1,0,1,14,2,2,9,99,4,1,1,9,9,12,2,2,2,1,2,2,2,2,2,2,2,2,3,1,2,1,1,3,1,1,1,3,2,3,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,99,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,9,2,1,2,2,2,99,2,1,1,3,9,9,9,9,9,9,9,"N"
"17",1,8,8,1,9,2,2,14,11,4,1,2,2,45,1,2,4,1,2,2,45,1,2,1,2,9,2,2,9,9,2,20,2,1,17,2,1,2,1,1,3,1,5,1,9,7,3,2,99,4,2,999,9,999,2,999,2,999,2,999,2,999,2,99,9,999,2,9,999,0,0,1,0,0,0,0,0,9,9,9,9,99,9,9,0,9,0,0,1,0,1,13,1,2,9,99,3,1,1,9,6,8,2,1,2,1,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,1,1,1,2,2,1,1,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,9,2,2,9,9,2,99,1,1,1,1,9,9,9,9,9,9,9,"N"
"18",1,1,8,1,9,2,2,3,11,4,5,2,2,10,1,1,4,5,2,2,10,1,1,2,9,9,1,2,2,8,2,25,2,1,21,4,4,1,4,4,4,1,5,2,9,7,1,1,2,3,2,999,9,999,2,999,2,999,2,999,2,999,2,99,9,999,2,9,999,0,1,0,0,0,0,0,0,9,9,9,9,99,9,9,0,9,0,0,2,0,0,13,1,2,9,99,2,1,2,9,0,8,4,1,4,1,2,1,2,2,2,1,1,2,1,1,2,2,1,4,2,1,1,1,3,1,2,2,1,1,2,1,2,3,2,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,9,2,2,9,9,2,99,3,1,1,1,9,9,9,9,9,9,9,"Y"
"19",1,1,1,5,1,2,2,14,2,4,1,2,2,28,4,2,6,1,1,9,43,1,2,2,9,9,1,2,2,8,2,4,2,1,0,2,1,2,4,4,3,1,5,1,9,8,8,2,10,99,2,999,9,999,2,999,2,999,2,999,2,999,2,99,9,999,2,9,999,1,0,0,0,0,0,0,0,9,9,9,9,99,9,9,0,9,0,0,1,0,1,14,1,2,9,99,4,1,1,9,9,12,4,1,3,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,1,1,1,1,3,3,2,1,1,2,1,2,1,3,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,9,2,2,9,9,2,99,1,1,1,1,9,9,9,9,9,9,9,"N"
"20",1,5,9,1,9,2,2,98,11,4,4,2,2,40,1,2,4,4,2,2,40,1,2,2,9,9,1,2,2,8,2,26,2,2,0,3,1,2,4,4,3,1,5,1,9,7,1,2,2,1,2,999,9,999,2,999,2,999,2,999,2,999,2,99,9,999,2,9,999,1,0,0,0,0,0,0,0,9,9,9,9,99,9,9,0,9,0,0,2,0,0,13,2,2,9,99,3,1,1,9,6,8,2,5,2,1,2,2,2,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,4,3,1,1,2,1,2,1,1,4,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,9,2,2,9,9,2,99,2,1,1,4,9,9,9,9,9,9,9,"Y"
"21",1,1,1,1,9,2,2,98,11,5,3,1,2,40,1,2,5,3,1,2,40,1,2,2,9,9,4,2,9,9,2,10,2,2,0,2,1,2,4,4,10,1,5,2,9,6,1,2,7,99,2,999,9,999,2,999,2,999,2,999,2,999,2,99,9,999,2,9,999,1,0,0,0,0,0,0,0,9,9,9,9,99,9,9,0,9,0,0,1,0,1,13,2,2,9,99,3,1,1,9,7,12,2,1,2,1,2,1,2,1,2,2,2,2,1,1,2,1,1,1,2,1,1,3,3,3,2,1,1,2,2,1,1,4,2,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,9,2,2,9,9,2,99,2,3,3,3,9,9,9,9,9,9,9,"N"
"22",1,1,1,2,2,2,2,13,11,4,3,2,2,41,1,2,4,3,2,2,41,1,2,2,9,9,1,2,2,8,2,28,1,1,13,2,1,2,4,4,3,1,5,1,9,6,1,2,2,3,2,999,9,999,2,999,2,999,2,999,2,999,2,99,9,999,2,9,999,0,0,0,1,0,0,0,0,9,9,9,9,99,9,9,0,9,0,0,2,0,0,13,1,2,9,99,2,1,1,9,6,8,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,1,1,3,2,1,1,1,3,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,2,2,1,1,3,3,3,3,3,4,3,4,3,3,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,9,2,3,6,3,2,99,3,1,1,2,9,9,9,9,9,9,9,"Y"
"23",1,1,1,1,9,2,2,98,11,4,1,2,2,28,1,2,4,1,2,2,28,1,2,2,9,9,4,2,9,9,2,17,2,1,16,2,1,2,4,4,4,1,5,2,9,7,1,2,13,99,2,999,9,999,2,999,2,999,2,999,2,999,2,99,9,999,2,9,999,0,1,0,0,0,0,0,0,9,9,9,9,99,9,9,0,9,0,0,2,0,0,13,1,2,9,99,3,1,1,9,0,8,4,1,4,1,2,2,2,1,2,2,1,2,2,1,2,1,1,2,2,2,1,3,1,2,1,1,2,2,2,1,2,3,2,2,2,1,1,2,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,9,2,2,9,9,2,99,2,1,1,1,9,9,9,9,9,9,9,"N"
"24",1,1,8,1,9,2,2,98,11,5,1,2,2,28,1,2,5,1,2,2,28,1,2,2,9,9,4,2,2,8,2,17,2,1,18,4,1,1,4,4,4,2,5,2,2,11,1,1,3,1,2,999,9,999,2,999,2,999,2,999,2,999,2,99,9,999,2,9,999,0,1,0,0,0,0,0,0,9,2,2,9,99,9,9,0,9,0,0,1,0,1,18,1,2,9,99,7,1,1,9,9,12,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,3,1,1,1,1,2,3,2,2,2,2,2,2,2,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,9,2,3,6,3,2,99,2,1,1,1,9,9,9,9,9,9,9,"N"
"25",1,1,1,1,9,2,2,98,2,4,1,2,2,40,2,2,4,1,1,2,40,2,2,2,9,9,2,2,9,9,2,4,2,1,18,3,4,1,4,4,3,1,5,1,9,9,2,2,6,99,2,999,9,999,2,999,2,999,2,999,2,999,2,99,9,999,2,9,999,0,0,0,1,0,0,0,0,9,2,2,9,99,9,9,0,9,0,0,2,0,0,16,1,2,9,99,4,1,1,9,9,12,2,3,2,1,2,2,2,2,2,2,2,2,1,1,3,1,1,2,1,1,1,1,2,3,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,9,2,3,6,3,2,99,3,1,1,2,9,9,9,9,9,9,9,"N"
"26",1,1,1,1,9,2,2,10,11,4,3,2,2,43,3,2,4,3,2,2,43,3,2,2,9,9,4,2,9,9,2,20,1,1,16,2,1,1,4,4,3,1,5,1,9,5,7,2,8,99,2,999,9,999,2,999,2,999,2,999,2,999,2,99,9,999,2,9,999,0,1,0,0,0,0,0,0,9,9,9,9,99,9,9,0,9,0,0,1,0,1,12,1,2,9,99,1,1,1,9,0,6,4,1,4,1,2,2,2,2,1,2,2,2,2,2,2,1,1,4,2,2,1,2,4,4,1,2,3,2,3,1,1,3,1,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,9,2,2,9,9,2,99,2,3,3,2,9,9,9,9,9,9,9,"N"
"27",1,1,1,1,9,2,2,13,2,4,1,2,2,42,4,2,4,1,1,2,43,4,2,2,9,9,1,2,2,8,2,4,2,1,16,2,4,3,4,4,3,1,5,1,9,9,4,2,99,3,2,999,9,999,2,999,2,999,2,999,2,999,2,99,9,999,2,9,999,0,1,0,0,0,0,0,0,9,9,9,9,99,9,9,0,9,0,0,2,0,1,14,1,2,9,99,4,1,1,9,9,9,2,2,2,1,2,2,2,1,1,2,2,2,1,1,2,1,1,2,2,1,1,2,3,3,4,2,2,3,2,1,2,2,2,2,2,2,1,1,1,3,2,3,3,1,1,1,3,1,1,3,3,3,1,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,1,1,1,2,99,2,1,1,1,9,9,9,9,9,9,9,"Y"
"28",1,1,1,1,9,2,2,13,11,4,1,2,2,41,1,2,4,1,2,2,41,1,2,2,9,9,2,2,9,9,2,20,2,1,19,4,1,1,4,4,4,1,5,2,9,9,1,2,13,99,2,999,9,999,2,999,2,999,2,999,2,999,2,99,9,999,2,9,999,1,0,0,0,0,0,0,0,9,9,9,9,99,9,9,0,9,0,0,1,0,1,15,2,2,9,99,5,1,1,9,9,12,4,1,4,1,1,1,2,2,2,2,1,2,1,1,2,1,1,2,2,1,1,1,3,2,2,2,2,2,3,2,2,3,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,9,2,2,9,9,2,99,2,1,1,3,9,9,9,9,9,9,9,"N"
"29",1,1,1,1,9,2,2,9,2,4,1,2,2,40,1,2,4,1,1,2,28,1,2,2,9,9,4,2,9,9,2,4,2,2,0,3,3,2,4,4,3,1,5,1,9,8,1,2,5,99,2,999,9,999,2,999,2,999,2,999,2,999,2,99,9,999,2,9,999,0,0,0,1,0,0,0,0,9,9,9,9,99,9,9,0,9,0,0,2,0,1,15,1,2,9,99,6,1,1,9,10,12,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,3,1,2,2,2,2,2,2,4,1,2,2,3,2,2,1,3,2,2,2,1,1,3,3,3,3,3,3,3,3,3,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,9,2,3,6,3,2,99,2,3,3,2,9,9,9,9,9,9,9,"N"
"30",1,1,8,1,9,2,2,14,2,4,1,2,2,42,1,2,5,1,1,2,45,1,2,2,9,9,4,2,9,9,2,4,2,1,0,3,1,2,4,4,4,1,5,2,9,7,1,2,13,99,2,999,9,999,2,999,2,999,2,999,2,999,2,99,9,999,2,9,999,1,0,0,0,0,0,0,0,9,9,9,9,99,9,9,0,9,0,0,2,0,0,13,2,2,9,99,3,2,9,2,0,8,4,2,4,2,2,2,2,1,1,1,2,2,2,1,2,1,1,1,2,1,2,1,3,1,1,2,2,2,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,9,2,2,9,9,2,99,1,1,1,4,9,9,9,9,9,9,9,"Y"
